FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20023249-1000.out:result,../../../instances/GNEP_knapsack_instances/4-20-5-strongcorr-9.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,112593,115903,3599.9,0
slurm_20023249-1001.out:result,../../../instances/GNEP_knapsack_instances/4-20-5-uncorr-0.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,91696,88628,3599.91,0
slurm_20023249-1002.out:result,../../../instances/GNEP_knapsack_instances/4-20-5-uncorr-1.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,139058,68646,3599.9,0
slurm_20023249-1003.out:result,../../../instances/GNEP_knapsack_instances/4-20-5-uncorr-2.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,192696,86183,3599.95,0
slurm_20023249-1004.out:result,../../../instances/GNEP_knapsack_instances/4-20-5-uncorr-3.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,119360,59757,3599.9,0
slurm_20023249-1005.out:result,../../../instances/GNEP_knapsack_instances/4-20-5-uncorr-4.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,108584,77263,3599.9,0
slurm_20023249-1006.out:result,../../../instances/GNEP_knapsack_instances/4-20-5-uncorr-5.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,128019,78308,3599.96,0
slurm_20023249-1007.out:result,../../../instances/GNEP_knapsack_instances/4-20-5-uncorr-6.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,93916,90319,3599.9,0
slurm_20023249-1008.out:result,../../../instances/GNEP_knapsack_instances/4-20-5-uncorr-7.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,36,0,0.624288,0
slurm_20023249-1009.out:result,../../../instances/GNEP_knapsack_instances/4-20-5-uncorr-8.txt,GNEP,GNEP-fullInteger,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,34,0,0.663876,0
