FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20023130-100.out:result,../../../instances/implementation_games/I_10_20_mm_1_9.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,1119,7378,3600.54,0
slurm_20023130-101.out:result,../../../instances/implementation_games/I_10_20_ss_10_10.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,1936,10977,3601.9,0
slurm_20023130-102.out:result,../../../instances/implementation_games/I_10_20_ss_10_1.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,79526,22,3599.93,0
slurm_20023130-103.out:result,../../../instances/implementation_games/I_10_20_ss_10_2.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,1829,5911,3600.11,0
slurm_20023130-104.out:result,../../../instances/implementation_games/I_10_20_ss_10_3.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,151268,11,3599.92,0
slurm_20023130-105.out:result,../../../instances/implementation_games/I_10_20_ss_10_4.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,1215,7171,3601.98,0
slurm_20023130-106.out:result,../../../instances/implementation_games/I_10_20_ss_10_5.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,416,3041,3618.55,0
slurm_20023130-107.out:result,../../../instances/implementation_games/I_10_20_ss_10_6.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,660,5219,3604.4,0
slurm_20023130-108.out:result,../../../instances/implementation_games/I_10_20_ss_10_7.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,60,1448,3618.68,0
slurm_20023130-109.out:result,../../../instances/implementation_games/I_10_20_ss_10_8.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,672,3108,3601.75,0
slurm_20023130-10.out:result,../../../instances/implementation_games/I_10_10_mm_10_9.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,2203,12022,3606.78,0
slurm_20023130-110.out:result,../../../instances/implementation_games/I_10_20_ss_10_9.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,124042,0,3599.9,0
slurm_20023130-111.out:result,../../../instances/implementation_games/I_10_20_ss_1_10.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,637,4068,3600.04,0
slurm_20023130-112.out:result,../../../instances/implementation_games/I_10_20_ss_1_1.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,132,2032,3631.18,0
slurm_20023130-113.out:result,../../../instances/implementation_games/I_10_20_ss_1_2.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,3795,16324,3601.64,0
slurm_20023130-114.out:result,../../../instances/implementation_games/I_10_20_ss_1_3.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,847,6048,3602.24,0
slurm_20023130-115.out:result,../../../instances/implementation_games/I_10_20_ss_1_4.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,192202,0,3599.9,0
slurm_20023130-116.out:result,../../../instances/implementation_games/I_10_20_ss_1_5.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,514,2361,3607.56,0
slurm_20023130-117.out:result,../../../instances/implementation_games/I_10_20_ss_1_6.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,838,5902,3600.74,0
slurm_20023130-118.out:result,../../../instances/implementation_games/I_10_20_ss_1_7.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,445,4108,3601.45,0
slurm_20023130-119.out:result,../../../instances/implementation_games/I_10_20_ss_1_8.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,784,6590,3604.99,0
slurm_20023130-11.out:result,../../../instances/implementation_games/I_10_10_mm_1_10.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,878,4849,506.957,0
slurm_20023130-120.out:result,../../../instances/implementation_games/I_10_20_ss_1_9.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,634,4284,3601.4,0
slurm_20023130-121.out:result,../../../instances/implementation_games/I_2_10_mm_10_10.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,NO_SOLUTION_FOUND,0,45,44,0.999465,0
slurm_20023130-122.out:result,../../../instances/implementation_games/I_2_10_mm_10_1.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,27568,44950,3600.44,0
slurm_20023130-123.out:result,../../../instances/implementation_games/I_2_10_mm_10_2.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,0.390465,0
slurm_20023130-124.out:result,../../../instances/implementation_games/I_2_10_mm_10_3.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,79736,130858,3599.95,0
slurm_20023130-125.out:result,../../../instances/implementation_games/I_2_10_mm_10_4.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,3247,3151,95.5324,0
slurm_20023130-126.out:result,../../../instances/implementation_games/I_2_10_mm_10_5.txt,GNEP,implementationGame,basicAlgorithm,intersectionCuts,localCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1,0,2.16714,0
