FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20025748-1000.out:result,../../../instances/NEP_knapsack_instances/4-20-2-uncorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,18487,51,3599.91,0
slurm_20025748-1001.out:result,../../../instances/NEP_knapsack_instances/4-20-2-weakcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,15581,56,3599.91,0
slurm_20025748-1002.out:result,../../../instances/NEP_knapsack_instances/4-20-2-weakcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,15964,59,3599.91,0
slurm_20025748-1003.out:result,../../../instances/NEP_knapsack_instances/4-20-2-weakcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,19439,102,3599.91,0
slurm_20025748-1004.out:result,../../../instances/NEP_knapsack_instances/4-20-2-weakcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,6386,23,216.983,0
slurm_20025748-1005.out:result,../../../instances/NEP_knapsack_instances/4-20-2-weakcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,12948,53,3599.91,0
slurm_20025748-1006.out:result,../../../instances/NEP_knapsack_instances/4-20-5-strongcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,24636,67,3599.91,0
slurm_20025748-1007.out:result,../../../instances/NEP_knapsack_instances/4-20-5-strongcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1909,16,42.4994,0
slurm_20025748-1008.out:result,../../../instances/NEP_knapsack_instances/4-20-5-strongcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,3113,59,3599.91,0
slurm_20025748-1009.out:result,../../../instances/NEP_knapsack_instances/4-20-5-strongcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,14428,94,3599.91,0
slurm_20025748-100.out:result,../../../instances/NEP_knapsack_instances/2-20-2-uncorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,1371,10,19.9928,0
slurm_20025748-1010.out:result,../../../instances/NEP_knapsack_instances/4-20-5-strongcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,17373,86,3599.91,0
slurm_20025748-1011.out:result,../../../instances/NEP_knapsack_instances/4-20-5-uncorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,8256,106,3599.91,0
slurm_20025748-1012.out:result,../../../instances/NEP_knapsack_instances/4-20-5-uncorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,8384,142,3599.92,0
slurm_20025748-1013.out:result,../../../instances/NEP_knapsack_instances/4-20-5-uncorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,14428,63,3599.91,0
slurm_20025748-1014.out:result,../../../instances/NEP_knapsack_instances/4-20-5-uncorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,13345,59,3599.91,0
slurm_20025748-1015.out:result,../../../instances/NEP_knapsack_instances/4-20-5-uncorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,17662,48,3599.91,0
slurm_20025748-1016.out:result,../../../instances/NEP_knapsack_instances/4-20-5-weakcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,16780,63,3599.91,0
slurm_20025748-1017.out:result,../../../instances/NEP_knapsack_instances/4-20-5-weakcorr-1.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,15775,80,3599.91,0
slurm_20025748-1018.out:result,../../../instances/NEP_knapsack_instances/4-20-5-weakcorr-2.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,13764,60,3599.91,0
slurm_20025748-1019.out:result,../../../instances/NEP_knapsack_instances/4-20-5-weakcorr-3.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,20929,85,3599.91,0
slurm_20025748-101.out:result,../../../instances/NEP_knapsack_instances/2-20-2-weakcorr-0.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,859,23,12.5191,0
slurm_20025748-1020.out:result,../../../instances/NEP_knapsack_instances/4-20-5-weakcorr-4.txt,NEP,NEP-fullInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,17909,132,3599.91,0
