FILENAME,INSTANCE,GAME_TYPE,ALGORITHM_VARIANT,CUT,CUT_VALIDITY,ENUMERATE_NE,MODEL_TYPE,BRANCHING_STRATEGY,FEASIBILITY_TOL,SOLVE_STATUS,NUMBER_OF_NE_FOUND,NODE_EXPLORED,CUTS_ADDED,TIME,ANTICYCLING_MEASURES_TAKEN
slurm_20027963-1000.out:result,../../../instances/NEP_knapsack_instances/4-20-2-uncorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,162,129,3599.91,0
slurm_20027963-1001.out:result,../../../instances/NEP_knapsack_instances/4-20-2-weakcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,16,20,5.81808,0
slurm_20027963-1002.out:result,../../../instances/NEP_knapsack_instances/4-20-2-weakcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,189,107,886.041,0
slurm_20027963-1003.out:result,../../../instances/NEP_knapsack_instances/4-20-2-weakcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,114,164,3599.91,0
slurm_20027963-1004.out:result,../../../instances/NEP_knapsack_instances/4-20-2-weakcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,2,0,4.29709,0
slurm_20027963-1005.out:result,../../../instances/NEP_knapsack_instances/4-20-2-weakcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,18,52,13.4595,0
slurm_20027963-1006.out:result,../../../instances/NEP_knapsack_instances/4-20-5-strongcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,26,164,3599.92,0
slurm_20027963-1007.out:result,../../../instances/NEP_knapsack_instances/4-20-5-strongcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,79,228,3599.92,0
slurm_20027963-1008.out:result,../../../instances/NEP_knapsack_instances/4-20-5-strongcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,36,251,3599.93,0
slurm_20027963-1009.out:result,../../../instances/NEP_knapsack_instances/4-20-5-strongcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,27,198,3599.92,0
slurm_20027963-100.out:result,../../../instances/NEP_knapsack_instances/2-20-2-uncorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,9,17,0.575881,0
slurm_20027963-1010.out:result,../../../instances/NEP_knapsack_instances/4-20-5-strongcorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,38,248,3599.93,0
slurm_20027963-1011.out:result,../../../instances/NEP_knapsack_instances/4-20-5-uncorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,311,221,3599.93,0
slurm_20027963-1012.out:result,../../../instances/NEP_knapsack_instances/4-20-5-uncorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,92,202,3599.92,0
slurm_20027963-1013.out:result,../../../instances/NEP_knapsack_instances/4-20-5-uncorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,156,188,3599.92,0
slurm_20027963-1014.out:result,../../../instances/NEP_knapsack_instances/4-20-5-uncorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,89,164,3599.92,0
slurm_20027963-1015.out:result,../../../instances/NEP_knapsack_instances/4-20-5-uncorr-4.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,149,155,3599.92,0
slurm_20027963-1016.out:result,../../../instances/NEP_knapsack_instances/4-20-5-weakcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,32,188,3599.92,0
slurm_20027963-1017.out:result,../../../instances/NEP_knapsack_instances/4-20-5-weakcorr-1.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,50,216,3599.92,0
slurm_20027963-1018.out:result,../../../instances/NEP_knapsack_instances/4-20-5-weakcorr-2.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,31,160,3599.92,0
slurm_20027963-1019.out:result,../../../instances/NEP_knapsack_instances/4-20-5-weakcorr-3.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,TIME_LIMIT_REACHED,0,31,172,3600.23,0
slurm_20027963-101.out:result,../../../instances/NEP_knapsack_instances/2-20-2-weakcorr-0.txt,NEP,NEP-mixedInteger,basicAlgorithm,eqCuts,globalCuts,false,manyEtasGurobi,mostFractional,0.000000001,SOLUTION_FOUND,1,158,234,99.5627,0
